asin;name;openbid;auction_duration;unixEndDate;endDate;bidders;bids
233;R42979 39x32x6mm Natural Polychrome Jasper Heart Pendant Bead;$0.01;7 days;1620528593.0;9 May 2021 at 10:49:53pm PDT;5.0;13.0
756;Fantastic lot of 26 cartridges original gameboy nuby + protective bag;EUR 1.00;7 days;1620531064.0;9 May 2021 at 11:31:04am PDT;13.0;31.0
962;Samsung Galaxy S9 SM-G960U - 64GB - Black (Unlocked) Smartphone;$0.99;5 days;1621980016.0;26 May 2021 at 6:00:16pm PDT;15.0;51.0
3137;Samsung Galaxy S21 5G SM-G991B - 128GB -Phantom Grey (Brand New Sealed) Unlocked;AU $0.99;3 days;1621729517.0;23 May 2021 at 8:25:17pm PDT;21.0;65.0
1282;Samsung Galaxy Note8 SM-N950 - 64GB - Orchid Grey Smartphone UNLOCKED;AU $0.99;7 days;1620790797.0;12 May 2021 at 11:39:57pm PDT;15.0;54.0
2565;Sony Xperia 5 II 5G 128 GB Schwarz Neu + OVP;EUR 1.00;7 days;1619317656.0;25 Apr 2021 at 10:27:36am PDT;13.0;29.0
158;Apple iPhone SE - 64GB -  Black (CDMA + GSM) (AU Stock) (Telstra);AU $50.00;7 days;1619723049.0;30 Apr 2021 at 3:04:09pm PDT;10.0;37.0
2811;Apple iPhone X - 256GB Space Gray Unlocked;$150.00;7 days;1619401012.0;26 Apr 2021 at 9:36:52pm PDT;11.0;32.0
2036;Wholesale joblot mobile phone iPhone android spares or repairs ;GBP 20.00;7 days;1620878455.0;13 May 2021 at 12:00:55pm PDT;8.0;21.0
3133;EXCELLENT Apple iPhone XS Max 64GB AT&T Space Gray Grey EUC Parts Repair ONLY;$0.99;7 days;1621725072.0;23 May 2021 at 7:11:12pm PDT;24.0;70.0
3213;Apple iPhone XS - 256GB - Gold (AT&T) A1920 (CDMA + GSM);$146.00;3 days;1621023877.0;15 May 2021 at 4:24:37pm PDT;5.0;21.0
2950;Fire Emblem Echoes: Shadows of Valentia (3DS 2017);$0.01;7 days;1620260690.0;6 May 2021 at 8:24:50am PDT;11.0;27.0
