bidderID;asin;bidorBuy;unixBidTime;bidTime
10970;50184;0.0;1619111229.0;23 Apr 2021 at 1:07:09am PDT
10698;17917;1.0;1620531163.0;9 May 2021 at 11:32:43am PDT
11547;20595;0.0;1620075966.0;4 May 2021 at 5:06:06am PDT
10526;42372;0.0;1621129139.0;16 May 2021 at 9:38:59am PDT
13229;66527;0.0;1621103406.0;16 May 2021 at 2:30:06pm PDT
13847;35895;0.0;1619998619.0;3 May 2021 at 7:36:59pm PDT
10899;67261;0.0;1619376079.0;26 Apr 2021 at 2:41:19am PDT
12677;56823;0.0;1620361812.0;7 May 2021 at 12:30:12pm PDT
11509;11990;0.0;1621299458.0;18 May 2021 at 8:57:38am PDT
12411;41032;0.0;1619465010.0;27 Apr 2021 at 3:23:30pm PDT
14230;61809;0.0;1619980618.0;3 May 2021 at 2:36:58am PDT
14002;59213;0.0;1620524069.0;9 May 2021 at 9:34:29pm PDT
11190;20720;0.0;1620344719.0;7 May 2021 at 7:45:19pm PDT
14449;24462;0.0;1621311729.0;18 May 2021 at 12:22:09pm PDT
13839;16817;0.0;1619308369.0;25 Apr 2021 at 7:52:49pm PDT
14130;67577;0.0;1619582494.0;28 Apr 2021 at 12:01:34am PDT
13229;66527;0.0;1621103419.0;16 May 2021 at 2:30:19pm PDT
11591;16731;0.0;1618681893.0;18 Apr 2021 at 1:51:33pm PDT
14617;5090;0.0;1619825006.0;1 May 2021 at 7:23:26pm PDT
12277;48234;0.0;1620599723.0;10 May 2021 at 6:35:23am PDT
12054;68911;0.0;1620670784.0;11 May 2021 at 2:19:44pm PDT
12949;33972;0.0;1621135477.0;16 May 2021 at 11:24:37am PDT
14301;31701;0.0;1619112111.0;23 Apr 2021 at 1:21:51am PDT
14375;46621;0.0;1619649342.0;29 Apr 2021 at 6:35:42am PDT
11658;37410;0.0;1619211144.0;24 Apr 2021 at 4:52:24pm PDT
13852;60641;0.0;1620181365.0;5 May 2021 at 10:22:45am PDT
13309;20718;0.0;1620074017.0;4 May 2021 at 4:33:37pm PDT
12526;55128;1.0;1621793559.0;24 May 2021 at 2:12:39pm PDT
14249;27320;0.0;1621963224.0;26 May 2021 at 1:20:24am PDT
14082;67063;0.0;1619146576.0;23 Apr 2021 at 10:56:16pm PDT
10649;9633;0.0;1620439799.0;8 May 2021 at 10:09:59pm PDT
12592;46045;0.0;1621139058.0;16 May 2021 at 12:24:18pm PDT
13671;11736;0.0;1621705602.0;23 May 2021 at 1:46:42pm PDT
13287;69401;0.0;1621540598.0;21 May 2021 at 3:56:38am PDT
9842;15246;0.0;1619897273.0;2 May 2021 at 3:27:53am PDT
10796;521;0.0;1619384845.0;26 Apr 2021 at 5:07:25pm PDT
11119;37387;0.0;1618952131.0;21 Apr 2021 at 4:55:31pm PDT
10754;50994;1.0;1620788943.0;12 May 2021 at 11:09:03am PDT
12175;61060;0.0;1621290050.0;18 May 2021 at 6:20:50pm PDT
10441;47549;0.0;1620180990.0;5 May 2021 at 10:16:30am PDT
13798;22419;1.0;1619898563.0;2 May 2021 at 3:49:23am PDT
13163;36690;1.0;1621623618.0;22 May 2021 at 3:00:18am PDT
14640;47716;0.0;1619731030.0;30 Apr 2021 at 5:17:10am PDT
13329;45049;0.0;1620185429.0;5 May 2021 at 11:30:29am PDT
13581;34682;1.0;1621796043.0;24 May 2021 at 2:54:03pm PDT
11475;64102;0.0;1619313915.0;25 Apr 2021 at 9:25:15am PDT
10629;17207;0.0;1619639998.0;29 Apr 2021 at 3:59:58pm PDT
11991;62938;0.0;1620101428.0;4 May 2021 at 12:10:28pm PDT
12766;52240;0.0;1619481323.0;27 Apr 2021 at 7:55:23pm PDT
11694;67088;0.0;1619301437.0;25 Apr 2021 at 5:57:17am PDT
13266;50498;0.0;1619639493.0;29 Apr 2021 at 3:51:33am PDT
11109;39737;0.0;1621728946.0;23 May 2021 at 8:15:46pm PDT
10136;8648;0.0;1620179244.0;5 May 2021 at 9:47:24pm PDT
11690;21076;0.0;1621025486.0;15 May 2021 at 4:51:26am PDT
13242;59280;0.0;1621220078.0;17 May 2021 at 10:54:38am PDT
12852;54879;0.0;1621121196.0;16 May 2021 at 7:26:36am PDT
14439;57211;0.0;1620701000.0;11 May 2021 at 10:43:20am PDT
12039;68309;1.0;1620688434.0;11 May 2021 at 7:13:54am PDT
10826;990;0.0;1620002108.0;3 May 2021 at 8:35:08am PDT
12891;1807;0.0;1620532812.0;9 May 2021 at 12:00:12pm PDT
12567;60989;0.0;1620960232.0;14 May 2021 at 10:43:52am PDT
11122;67671;0.0;1620177784.0;5 May 2021 at 9:23:04am PDT
13512;4977;0.0;1619743840.0;30 Apr 2021 at 8:50:40am PDT
14569;67927;0.0;1619818230.0;1 May 2021 at 5:30:30am PDT
10444;13089;0.0;1619754088.0;30 Apr 2021 at 11:41:28am PDT
11499;18063;0.0;1620425446.0;8 May 2021 at 6:10:46pm PDT
11084;6245;0.0;1620177997.0;5 May 2021 at 9:26:37pm PDT
14298;68396;1.0;1620759416.0;12 May 2021 at 2:56:56am PDT
13166;19699;0.0;1619919785.0;2 May 2021 at 9:43:05am PDT
12332;35814;1.0;1620510058.0;9 May 2021 at 5:40:58am PDT
14278;745;0.0;1619919324.0;2 May 2021 at 9:35:24am PDT
13504;63644;0.0;1621206574.0;17 May 2021 at 7:09:34am PDT
10121;985;0.0;1619809334.0;1 May 2021 at 3:02:14pm PDT
13569;6530;0.0;1620260190.0;6 May 2021 at 8:16:30pm PDT
9629;31516;0.0;1621309846.0;18 May 2021 at 11:50:46am PDT
11933;45617;0.0;1620949981.0;14 May 2021 at 7:53:01am PDT
12798;57068;0.0;1621105079.0;16 May 2021 at 2:57:59am PDT
12476;60172;0.0;1619649625.0;29 Apr 2021 at 6:40:25am PDT
13790;55351;0.0;1619390446.0;26 Apr 2021 at 6:40:46am PDT
12578;65308;0.0;1621619900.0;22 May 2021 at 1:58:20am PDT
14596;9265;0.0;1620407871.0;8 May 2021 at 1:17:51pm PDT
10772;22780;0.0;1619824508.0;1 May 2021 at 7:15:08am PDT
11186;12880;0.0;1619922176.0;2 May 2021 at 10:22:56am PDT
13895;64190;0.0;1619931074.0;2 May 2021 at 12:51:14pm PDT
11894;68855;0.0;1620783935.0;12 May 2021 at 9:45:35pm PDT
13875;43463;0.0;1619288638.0;25 Apr 2021 at 2:23:58pm PDT
14327;6952;0.0;1620276099.0;6 May 2021 at 12:41:39am PDT
11016;17649;0.0;1619805689.0;1 May 2021 at 2:01:29pm PDT
